split,n,mse,r,rho
test,250,0.05204601973445065,0.4979057671344763,0.5810800172802764
train,90,0.02926520138238491,0.569041476638635,0.612462443923118
val,10,0.019161391899186843,0.22168226869228022,0.06666666666666665
