split,n,mse,r,rho
test,250,0.08692394072669507,0.432200093140155,0.4549969759516152
train,90,0.007947642904641977,0.9970752428674889,0.981149936206116
val,10,0.06480959047477344,0.932139224891152,0.29696969696969694
