split,n,mse,r,rho
test,250,0.03412510541026194,0.6550270796840677,0.7537468439495031
train,90,0.01803390629827019,0.8752759464133097,0.9090093427172077
val,10,0.020433289294831347,0.8767896248915257,0.8424242424242423
