split,n,mse,r,rho
test,250,0.037578730899683464,0.7045109535443325,0.7718550376806028
train,90,0.016220610716604127,0.9741852094435859,0.9466930073671647
val,10,0.020016142383389227,0.9640542308672639,0.7454545454545454
