split,n,mse,r,rho
test,250,0.04619344300484687,0.40725071852470995,0.45680871693947095
train,90,0.02334755734273007,0.45131824871753945,0.4817961065152076
val,10,0.035319044269519664,0.5558031664155885,0.33333333333333326
