split,n,mse,r,rho
test,250,0.036181938069802334,0.46376274910003096,0.5691663359413219
train,90,0.011830336978547861,0.6264638624713501,0.6675474338395686
val,10,0.01805841059872226,0.6111526161918861,0.5272727272727272
