epoch,step,train_reg_loss,val_reg_loss
0,5,,1.5400967597961426
0,5,6.16014289855957,
1,11,,0.024333123117685318
1,11,0.29910799860954285,
2,17,,0.11291392147541046
2,17,0.2129659503698349,
3,23,,0.02279374934732914
3,23,0.234184131026268,
4,29,,0.10047586262226105
4,29,0.05899461731314659,
5,35,,0.21936611831188202
5,35,0.03998936712741852,
6,41,,0.16124537587165833
6,41,0.053520653396844864,
7,47,,0.08153211325407028
7,47,0.024403996765613556,
8,53,,0.05645877867937088
8,53,0.02682211622595787,
9,59,,0.0662107765674591
9,59,0.02794524095952511,
10,65,,0.08107732981443405
10,65,0.025664914399385452,
11,71,,0.08150485157966614
11,71,0.02596350759267807,
12,77,,0.08746082335710526
12,77,0.02010357193648815,
13,83,,0.09084461629390717
13,83,0.026750288903713226,
14,89,,0.0779600590467453
14,89,0.026987655088305473,
15,95,,0.08757004141807556
15,95,0.023679474368691444,
16,101,,0.09313292801380157
16,101,0.024690328165888786,
17,107,,0.08252160996198654
17,107,0.0282969418913126,
18,113,,0.07056832313537598
18,113,0.021884256973862648,
19,119,,0.08085783571004868
19,119,0.020704826340079308,
20,125,,0.0774194598197937
20,125,0.02178358845412731,
21,131,,0.07936709374189377
21,131,0.026511436328291893,
22,137,,0.08226732909679413
22,137,0.023919131606817245,
23,143,,0.07320573925971985
23,143,0.023313891142606735,
24,149,,0.07496184855699539
24,149,0.026197927072644234,
25,155,,0.07107710838317871
25,155,0.021923718973994255,
26,161,,0.07188618928194046
26,161,0.01858268491923809,
27,167,,0.08098207414150238
27,167,0.02267931029200554,
28,173,,0.08524151891469955
28,173,0.025178559124469757,
29,179,,0.08617593348026276
29,179,0.021212680265307426,
30,185,,0.07657795399427414
30,185,0.017024438828229904,
31,191,,0.07271858304738998
31,191,0.019467893987894058,
32,197,,0.07713422179222107
32,197,0.017777524888515472,
33,203,,0.08113210648298264
33,203,0.02058064192533493,
34,209,,0.08181294053792953
34,209,0.019808247685432434,
35,215,,0.08993752300739288
35,215,0.024206040427088737,
36,221,,0.09483814239501953
36,221,0.02248465269804001,
37,227,,0.06627251952886581
37,227,0.02246299386024475,
38,233,,0.06448569148778915
38,233,0.02060023508965969,
39,239,,0.07634782046079636
39,239,0.018868209794163704,
40,245,,0.08261983841657639
40,245,0.022001488134264946,
41,251,,0.07408725470304489
41,251,0.01715952157974243,
42,257,,0.0791178047657013
42,257,0.022666029632091522,
43,263,,0.07538992166519165
43,263,0.017912188544869423,
44,269,,0.07431916147470474
44,269,0.02061944268643856,
45,275,,0.06289209425449371
45,275,0.017244387418031693,
46,281,,0.07389406114816666
46,281,0.023656846955418587,
47,287,,0.08994617313146591
47,287,0.01810268871486187,
48,293,,0.08791752904653549
48,293,0.020711274817585945,
49,299,,0.07324161380529404
49,299,0.01815732568502426,
50,305,,0.07627969980239868
50,305,0.021143153309822083,
51,311,,0.07135051488876343
51,311,0.018140479922294617,
52,317,,0.07116365432739258
52,317,0.01977771706879139,
53,323,,0.07404982298612595
53,323,0.017995653674006462,
54,329,,0.07639319449663162
54,329,0.0165262371301651,
55,335,,0.08155559003353119
55,335,0.018719542771577835,
56,341,,0.07186815142631531
56,341,0.022975539788603783,
57,347,,0.06205815076828003
57,347,0.02409755066037178,
58,353,,0.09292460978031158
58,353,0.01723264530301094,
59,359,,0.08016932755708694
59,359,0.019534800201654434,
60,365,,0.07278312742710114
60,365,0.02089785784482956,
61,371,,0.07446511834859848
61,371,0.017943214625120163,
62,377,,0.08061887323856354
62,377,0.018177492544054985,
63,383,,0.07253848016262054
63,383,0.017185943201184273,
64,389,,0.0806579738855362
64,389,0.020142603665590286,
65,395,,0.06863470375537872
65,395,0.021215708926320076,
66,401,,0.06346183270215988
66,401,0.015889674425125122,
67,407,,0.07371518760919571
67,407,0.018779559060931206,
68,413,,0.09234762191772461
68,413,0.01869398169219494,
69,419,,0.06026684492826462
69,419,0.018223663792014122,
70,425,,0.07323063910007477
70,425,0.016618581488728523,
71,431,,0.09711676090955734
71,431,0.0200224407017231,
72,437,,0.07844936102628708
72,437,0.016048289835453033,
73,443,,0.06756599247455597
73,443,0.021544843912124634,
74,449,,0.06831149011850357
74,449,0.01703711599111557,
75,455,,0.06935529410839081
75,455,0.01647617109119892,
76,461,,0.08709599822759628
76,461,0.016212420538067818,
77,467,,0.0659119188785553
77,467,0.016931328922510147,
78,473,,0.0774792730808258
78,473,0.01857542246580124,
79,479,,0.08438385277986526
79,479,0.015506628900766373,
80,485,,0.06721805036067963
80,485,0.01765797846019268,
81,491,,0.07758425176143646
81,491,0.019900061190128326,
82,497,,0.07865241914987564
82,497,0.015359054319560528,
83,503,,0.06683243066072464
83,503,0.02048385888338089,
84,509,,0.06665704399347305
84,509,0.016645288094878197,
85,515,,0.07650293409824371
85,515,0.011826972477138042,
86,521,,0.07755322009325027
86,521,0.01622963696718216,
87,527,,0.07160177826881409
87,527,0.018781408667564392,
88,533,,0.07479879260063171
88,533,0.014026680029928684,
89,539,,0.08157922327518463
89,539,0.01814517006278038,
90,545,,0.0653279647231102
90,545,0.015665767714381218,
91,551,,0.06528940796852112
91,551,0.016695305705070496,
92,557,,0.07115902006626129
92,557,0.021521955728530884,
93,563,,0.10144110769033432
93,563,0.017192739993333817,
94,569,,0.051371145993471146
94,569,0.018950533121824265,
95,575,,0.06821940839290619
95,575,0.018433408811688423,
96,581,,0.08596434444189072
96,581,0.01627579890191555,
97,587,,0.07664798200130463
97,587,0.016561225056648254,
98,593,,0.08122307807207108
98,593,0.0156556386500597,
99,599,,0.07723111659288406
99,599,0.014878824353218079,
100,605,,0.05894682556390762
100,605,0.01629691570997238,
101,611,,0.06013970449566841
101,611,0.018228696659207344,
102,617,,0.0930008664727211
102,617,0.01638861745595932,
103,623,,0.060755662620067596
103,623,0.01848362572491169,
104,629,,0.05882533639669418
104,629,0.018917573615908623,
105,635,,0.09609713405370712
105,635,0.013866856694221497,
106,641,,0.06245814636349678
106,641,0.018593398854136467,
107,647,,0.0709385946393013
107,647,0.013135463930666447,
108,653,,0.06481315940618515
108,653,0.016928918659687042,
109,659,,0.08615720272064209
109,659,0.019815249368548393,
110,665,,0.09044245630502701
110,665,0.017882663756608963,
111,671,,0.06235278770327568
111,671,0.013360781595110893,
112,677,,0.06723952293395996
112,677,0.01463960949331522,
113,683,,0.07135042548179626
113,683,0.015465952455997467,
114,689,,0.058601170778274536
114,689,0.013969434425234795,
115,695,,0.08783912658691406
115,695,0.018251700326800346,
116,701,,0.06328689306974411
116,701,0.016917983070015907,
117,707,,0.06890211254358292
117,707,0.01579691655933857,
118,713,,0.0793907567858696
118,713,0.014632872305810452,
119,719,,0.07160093635320663
119,719,0.01570883020758629,
120,725,,0.07051090896129608
120,725,0.013924130238592625,
121,731,,0.080416239798069
121,731,0.0147899454459548,
122,737,,0.05623375251889229
122,737,0.015318701043725014,
123,743,,0.07910580933094025
123,743,0.015255163423717022,
124,749,,0.07225637882947922
124,749,0.017050743103027344,
125,755,,0.06762640923261642
125,755,0.015270054340362549,
126,761,,0.08328073471784592
126,761,0.016135165467858315,
127,767,,0.05936383455991745
127,767,0.015321523882448673,
128,773,,0.08369588106870651
128,773,0.01475310605019331,
129,779,,0.0704682245850563
129,779,0.014617443084716797,
130,785,,0.05711665749549866
130,785,0.016282934695482254,
131,791,,0.07956574857234955
131,791,0.01512699294835329,
132,797,,0.06621478497982025
132,797,0.014590485021471977,
133,803,,0.07318965345621109
133,803,0.015598338097333908,
134,809,,0.08126096427440643
134,809,0.014085754752159119,
135,815,,0.061929233372211456
135,815,0.012295475229620934,
136,821,,0.08431772142648697
136,821,0.016663294285535812,
137,827,,0.058070361614227295
