split,n,mse,r,rho
test,250,0.03617257632978453,0.430970593997318,0.4956203130841186
train,90,0.008173643722263113,0.6498985213529752,0.6638103469564143
val,10,0.016370278255952764,0.5753797298381491,0.5393939393939393
