epoch,step,train_reg_loss,val_reg_loss
0,5,,0.060604553669691086
0,5,3.3188884258270264,
1,11,,0.03310662508010864
1,11,0.15577082335948944,
2,17,,0.026974577456712723
2,17,0.13895729184150696,
3,23,,0.024149196222424507
3,23,0.12371271103620529,
4,29,,0.02234734781086445
4,29,0.11244765669107437,
5,35,,0.020875897258520126
5,35,0.11068156361579895,
6,41,,0.019736208021640778
6,41,0.1088453009724617,
7,47,,0.018953025341033936
7,47,0.09357690811157227,
8,53,,0.018538476899266243
8,53,0.11060281097888947,
9,59,,0.018413914367556572
9,59,0.09173726290464401,
10,65,,0.01846325956285
10,65,0.09463861584663391,
11,71,,0.018598202615976334
11,71,0.10346407443284988,
12,77,,0.01877097599208355
12,77,0.07905895262956619,
13,83,,0.018973851576447487
13,83,0.08143500983715057,
14,89,,0.01919202134013176
14,89,0.08044470846652985,
15,95,,0.01941835507750511
15,95,0.07405001670122147,
16,101,,0.019648320972919464
16,101,0.07830283790826797,
17,107,,0.019894227385520935
17,107,0.07911257445812225,
18,113,,0.02016054466366768
18,113,0.077027827501297,
19,119,,0.02045702189207077
19,119,0.06390362232923508,
20,125,,0.02078012004494667
20,125,0.07084786146879196,
21,131,,0.0211151372641325
21,131,0.0778602883219719,
22,137,,0.021488007158041
22,137,0.06594625860452652,
23,143,,0.021872304379940033
23,143,0.05336838215589523,
24,149,,0.022257905453443527
24,149,0.06511218845844269,
25,155,,0.0226528849452734
25,155,0.070633165538311,
26,161,,0.023040227591991425
26,161,0.06314978003501892,
27,167,,0.023468462750315666
27,167,0.062068987637758255,
28,173,,0.023903585970401764
28,173,0.05019811540842056,
29,179,,0.024338388815522194
29,179,0.0702376589179039,
30,185,,0.02472616732120514
30,185,0.06958238035440445,
31,191,,0.025200480595231056
31,191,0.06650857627391815,
32,197,,0.025717347860336304
32,197,0.05358751490712166,
33,203,,0.026213711127638817
33,203,0.045755401253700256,
34,209,,0.026703890413045883
34,209,0.0474877767264843,
35,215,,0.02715149149298668
35,215,0.05179319530725479,
36,221,,0.02756297029554844
36,221,0.04366588592529297,
37,227,,0.027995571494102478
37,227,0.061584945768117905,
38,233,,0.028520088642835617
38,233,0.0460251048207283,
39,239,,0.02901725471019745
39,239,0.04126960411667824,
40,245,,0.02946222759783268
40,245,0.04384191706776619,
41,251,,0.029942011460661888
41,251,0.046453095972537994,
42,257,,0.030508507043123245
42,257,0.04052859917283058,
43,263,,0.030993804335594177
43,263,0.05272586643695831,
44,269,,0.031485315412282944
44,269,0.039655957370996475,
45,275,,0.03212907910346985
45,275,0.04544060677289963,
46,281,,0.03281177952885628
46,281,0.046613845974206924,
47,287,,0.033426448702812195
47,287,0.04947862774133682,
48,293,,0.033950887620449066
48,293,0.03645624592900276,
49,299,,0.03460230678319931
49,299,0.0473485141992569,
50,305,,0.03526049107313156
50,305,0.0312076136469841,
51,311,,0.036022111773490906
51,311,0.039215561002492905,
52,317,,0.03669452294707298
52,317,0.028190944343805313,
53,323,,0.03723463416099548
53,323,0.03526018559932709,
54,329,,0.03788406401872635
54,329,0.04268508031964302,
55,335,,0.038446810096502304
55,335,0.03673287853598595,
56,341,,0.03904076665639877
56,341,0.03455248475074768,
57,347,,0.03957836329936981
57,347,0.03872005268931389,
58,353,,0.04026302695274353
58,353,0.030843641608953476,
59,359,,0.04105778783559799
59,359,0.03611014410853386,
60,365,,0.04194368049502373
60,365,0.03617996722459793,
61,371,,0.042752500623464584
61,371,0.036116816103458405,
62,377,,0.04326881095767021
62,377,0.030415164306759834,
63,383,,0.04376079887151718
63,383,0.032636191695928574,
64,389,,0.04426661878824234
64,389,0.03402324765920639,
65,395,,0.04500472918152809
65,395,0.034090954810380936,
66,401,,0.0456324964761734
66,401,0.026611192151904106,
67,407,,0.04613757133483887
67,407,0.026227029040455818,
68,413,,0.04684140905737877
68,413,0.025874683633446693,
69,419,,0.04739492014050484
69,419,0.026885859668254852,
70,425,,0.047972265630960464
70,425,0.028177432715892792,
71,431,,0.04844719171524048
71,431,0.030223125591874123,
72,437,,0.049082279205322266
72,437,0.027964159846305847,
73,443,,0.04966900497674942
73,443,0.030779272317886353,
74,449,,0.050126560032367706
74,449,0.024727599695324898,
75,455,,0.05025697499513626
75,455,0.028603358194231987,
76,461,,0.050713807344436646
76,461,0.021018365398049355,
77,467,,0.050911568105220795
77,467,0.026893366128206253,
78,473,,0.051074542105197906
78,473,0.021606750786304474,
79,479,,0.05127153545618057
79,479,0.020430121570825577,
80,485,,0.05159727483987808
80,485,0.027748579159379005,
81,491,,0.05197606608271599
81,491,0.023699510842561722,
82,497,,0.05225091427564621
82,497,0.024770373478531837,
83,503,,0.05248023197054863
83,503,0.024628741666674614,
84,509,,0.05308067798614502
84,509,0.02832636795938015,
85,515,,0.05415813997387886
85,515,0.02189473807811737,
86,521,,0.05483678728342056
86,521,0.023313947021961212,
87,527,,0.05524369329214096
87,527,0.03113185055553913,
88,533,,0.055106889456510544
88,533,0.017920568585395813,
89,539,,0.05504811555147171
89,539,0.02836378663778305,
90,545,,0.054919369518756866
90,545,0.022565403953194618,
91,551,,0.05508272722363472
91,551,0.027117272838950157,
92,557,,0.05472671240568161
92,557,0.028539525344967842,
93,563,,0.05499671772122383
93,563,0.02643125131726265,
94,569,,0.05545395612716675
