split,n,mse,r,rho
test,250,0.032034752673959575,0.6898362423313436,0.768425862813805
train,90,0.01231746468930292,0.9639331229944603,0.9384121496481046
val,10,0.0070850127081048585,0.918960789795877,0.9393939393939393
