split,n,mse,r,rho
test,250,0.04012257809226651,0.028491176525635303,0.014244332114051485
train,90,0.023758681589679437,0.15408743205035594,0.24719924270486063
val,10,0.01410432374900895,0.6290382407292707,0.34545454545454546
