epoch,step,train_reg_loss,val_reg_loss
0,5,,0.035443421453237534
0,5,3.1321170330047607,
1,11,,0.019514378160238266
1,11,0.1315968781709671,
2,17,,0.01689964532852173
2,17,0.11971323192119598,
3,23,,0.016225703060626984
3,23,0.10150699317455292,
4,29,,0.016147945076227188
4,29,0.09835539758205414,
5,35,,0.01636783964931965
5,35,0.09089259058237076,
6,41,,0.016839947551488876
6,41,0.09553612768650055,
7,47,,0.017591796815395355
7,47,0.08369150757789612,
8,53,,0.01862366870045662
8,53,0.0804094448685646,
9,59,,0.019846247509121895
9,59,0.07803206145763397,
10,65,,0.021045006811618805
10,65,0.08317124843597412,
11,71,,0.02218771167099476
11,71,0.09326042234897614,
12,77,,0.02314782701432705
12,77,0.06981823593378067,
13,83,,0.024053381755948067
13,83,0.06771936267614365,
14,89,,0.024863069877028465
14,89,0.06531311571598053,
15,95,,0.025601500645279884
15,95,0.0646795853972435,
16,101,,0.026216745376586914
16,101,0.07331478595733643,
17,107,,0.026856521144509315
17,107,0.06310120970010757,
18,113,,0.027510780841112137
18,113,0.05796627327799797,
19,119,,0.028129884973168373
19,119,0.06345076858997345,
20,125,,0.028708111494779587
20,125,0.06548528373241425,
21,131,,0.029266472905874252
21,131,0.07683058083057404,
22,137,,0.02987547218799591
22,137,0.06436052173376083,
23,143,,0.030392315238714218
23,143,0.05646783858537674,
24,149,,0.03089809976518154
24,149,0.05994454398751259,
25,155,,0.03144844248890877
25,155,0.06748487800359726,
26,161,,0.032039470970630646
26,161,0.049334727227687836,
27,167,,0.03270218148827553
27,167,0.06663189828395844,
28,173,,0.03329726681113243
28,173,0.050462909042835236,
29,179,,0.03397851064801216
29,179,0.06797729432582855,
30,185,,0.034562576562166214
30,185,0.060487084090709686,
31,191,,0.035241518169641495
31,191,0.059499453753232956,
32,197,,0.036031339317560196
32,197,0.048423800617456436,
33,203,,0.036748286336660385
33,203,0.05473551154136658,
34,209,,0.0374307706952095
34,209,0.04811921715736389,
35,215,,0.038018934428691864
35,215,0.0465044304728508,
36,221,,0.038556888699531555
36,221,0.04686838760972023,
37,227,,0.03899602219462395
37,227,0.06251657009124756,
38,233,,0.039412837475538254
38,233,0.049211304634809494,
39,239,,0.03982904553413391
39,239,0.050127096474170685,
40,245,,0.04039103165268898
40,245,0.03427558392286301,
41,251,,0.04103146865963936
41,251,0.051069311797618866,
42,257,,0.0415564626455307
42,257,0.0461648665368557,
43,263,,0.0421285443007946
43,263,0.05328460782766342,
44,269,,0.04262513667345047
44,269,0.045070208609104156,
45,275,,0.04311097413301468
45,275,0.046046145260334015,
46,281,,0.04384841397404671
46,281,0.056148938834667206,
47,287,,0.04435525834560394
47,287,0.05399224907159805,
48,293,,0.044576458632946014
48,293,0.04706338420510292,
49,299,,0.04504445940256119
49,299,0.05809205770492554,
50,305,,0.045300163328647614
50,305,0.03900662437081337,
51,311,,0.046011969447135925
51,311,0.05427882447838783,
52,317,,0.0464288592338562
52,317,0.04610837996006012,
53,323,,0.04658504202961922
53,323,0.04370750114321709,
54,329,,0.04710497707128525
54,329,0.05032680928707123,
55,335,,0.047244712710380554
55,335,0.05491552874445915,
56,341,,0.047447651624679565
56,341,0.045644134283065796,
57,347,,0.047729432582855225
57,347,0.05392595753073692,
58,353,,0.04798473045229912
58,353,0.04506327211856842,
59,359,,0.048761166632175446
59,359,0.04545431584119797,
60,365,,0.04975106567144394
60,365,0.04636250436306,
61,371,,0.05044359713792801
61,371,0.04869987815618515,
62,377,,0.05039900541305542
62,377,0.034858547151088715,
63,383,,0.05044670030474663
63,383,0.04812048375606537,
64,389,,0.050331465899944305
64,389,0.04911942034959793,
65,395,,0.05095108225941658
65,395,0.04407062381505966,
66,401,,0.050877250730991364
66,401,0.036820389330387115,
67,407,,0.050749439746141434
67,407,0.03899753838777542,
68,413,,0.05111869424581528
68,413,0.03943431377410889,
69,419,,0.052001066505908966
69,419,0.0391569547355175,
70,425,,0.05296977609395981
70,425,0.04192821681499481,
71,431,,0.05300172045826912
71,431,0.043196551501750946,
72,437,,0.05306776240468025
72,437,0.04655826464295387,
73,443,,0.052926771342754364
73,443,0.04642048850655556,
74,449,,0.053151875734329224
74,449,0.0367027223110199,
75,455,,0.05152420327067375
75,455,0.043332260102033615,
76,461,,0.05134016275405884
76,461,0.04097738116979599,
77,467,,0.05113562196493149
77,467,0.031920745968818665,
78,473,,0.0498756542801857
78,473,0.03660527989268303,
79,479,,0.049416352063417435
79,479,0.04192236065864563,
80,485,,0.04985232651233673
80,485,0.036723148077726364,
81,491,,0.052004389464855194
81,491,0.04087015241384506,
82,497,,0.0534619577229023
82,497,0.03461337462067604,
83,503,,0.05303798243403435
83,503,0.033451519906520844,
84,509,,0.05362963676452637
84,509,0.034442201256752014,
85,515,,0.054004959762096405
85,515,0.04900761693716049,
86,521,,0.05355997011065483
86,521,0.04257773980498314,
87,527,,0.05447521060705185
87,527,0.035457197576761246,
88,533,,0.05232502147555351
88,533,0.03700484335422516,
89,539,,0.05179327726364136
89,539,0.035106103867292404,
90,545,,0.052213747054338455
90,545,0.0364237055182457,
91,551,,0.053340114653110504
91,551,0.04145895689725876,
92,557,,0.053142718970775604
92,557,0.04570898041129112,
93,563,,0.05190450698137283
93,563,0.04197045788168907,
94,569,,0.0516798198223114
94,569,0.03838811814785004,
95,575,,0.052343010902404785
95,575,0.048312101513147354,
96,581,,0.053740423172712326
96,581,0.03494730964303017,
97,587,,0.05432149022817612
97,587,0.034644223749637604,
98,593,,0.054112739861011505
98,593,0.034982454031705856,
99,599,,0.052809424698352814
99,599,0.03832691162824631,
100,605,,0.0517890639603138
100,605,0.03774236887693405,
101,611,,0.05211855098605156
101,611,0.03438015654683113,
102,617,,0.052337534725666046
102,617,0.03444713354110718,
103,623,,0.05408671498298645
103,623,0.038549844175577164,
104,629,,0.05787781625986099
104,629,0.04378914833068848,
105,635,,0.05740932375192642
105,635,0.031792327761650085,
106,641,,0.05550422519445419
106,641,0.035679906606674194,
107,647,,0.05500776693224907
107,647,0.02917311154305935,
108,653,,0.05213519185781479
108,653,0.03247644007205963,
109,659,,0.048832427710294724
109,659,0.033325474709272385,
110,665,,0.054990775883197784
110,665,0.04429321736097336,
111,671,,0.060771338641643524
111,671,0.04163195937871933,
112,677,,0.057427383959293365
112,677,0.036822687834501266,
113,683,,0.056818775832653046
113,683,0.0409674271941185,
114,689,,0.05263083055615425
114,689,0.03463156893849373,
115,695,,0.051634907722473145
115,695,0.03713054209947586,
116,701,,0.05890900641679764
116,701,0.03581013157963753,
117,707,,0.059394191950559616
117,707,0.03003976121544838,
118,713,,0.05576122924685478
118,713,0.03577201068401337,
119,719,,0.04936971887946129
119,719,0.03616956248879433,
120,725,,0.051283545792102814
120,725,0.030780527740716934,
121,731,,0.05794861167669296
121,731,0.041600875556468964,
122,737,,0.06055017560720444
122,737,0.03758738189935684,
123,743,,0.06262276321649551
123,743,0.04476916417479515,
124,749,,0.05814354866743088
124,749,0.03893575072288513,
125,755,,0.057219184935092926
125,755,0.030159849673509598,
126,761,,0.058266013860702515
126,761,0.026311619207262993,
127,767,,0.05652583763003349
127,767,0.03584807366132736,
128,773,,0.06132357195019722
128,773,0.036450620740652084,
129,779,,0.06094358488917351
129,779,0.03780599683523178,
130,785,,0.05108095332980156
130,785,0.03260626271367073,
131,791,,0.046799566596746445
131,791,0.029921211302280426,
132,797,,0.04594365507364273
132,797,0.030491873621940613,
133,803,,0.0547121986746788
133,803,0.03765548765659332,
134,809,,0.062412045896053314
134,809,0.03024280071258545,
135,815,,0.056810539215803146
135,815,0.03038284182548523,
136,821,,0.050444234162569046
136,821,0.028531186282634735,
137,827,,0.05234508961439133
137,827,0.02724013291299343,
