val_reg_loss,epoch,step,train_reg_loss,max_norm
0.33242347836494446,0,5,,
,0,5,2.739413261413574,0.0
0.4408497214317322,1,11,,
,1,11,1.5876574516296387,0.0
0.18074528872966766,2,17,,
,2,17,1.6111903190612793,0.0
0.17215658724308014,3,23,,
,3,23,1.4361423254013062,0.0
0.18188749253749847,4,29,,
,4,29,1.3862769603729248,0.0
0.23432183265686035,5,35,,
,5,35,1.3883901834487915,0.0
0.18295733630657196,6,41,,
,6,41,1.419175624847412,0.0
0.17868687212467194,7,47,,
,7,47,1.443625807762146,0.0
0.2208038717508316,8,53,,
,8,53,1.4609252214431763,0.0
0.1722429245710373,9,59,,
,9,59,1.4116225242614746,0.0
0.22317497432231903,10,65,,
,10,65,1.4384775161743164,0.0
0.1706213504076004,11,71,,
,11,71,1.4121999740600586,0.0
0.2532312572002411,12,77,,
,12,77,1.4181361198425293,0.0
0.16942058503627777,13,83,,
,13,83,1.4460265636444092,0.0
0.2115800380706787,14,89,,
,14,89,1.3787428140640259,0.0
0.19765298068523407,15,95,,
,15,95,1.4931660890579224,0.0
0.16959337890148163,16,101,,
,16,101,1.626460075378418,0.0
0.32210975885391235,17,107,,
,17,107,1.6237249374389648,0.0
0.19257228076457977,18,113,,
,18,113,1.3789118528366089,0.0
0.22907979786396027,19,119,,
,19,119,1.4566514492034912,0.0
0.24483513832092285,20,125,,
,20,125,1.4471230506896973,0.0
0.1773056536912918,21,131,,
,21,131,1.3539276123046875,0.0
0.18839439749717712,22,137,,
,22,137,1.3732757568359375,0.0
0.1925661414861679,23,143,,
,23,143,1.3864933252334595,0.0
0.19828294217586517,24,149,,
,24,149,1.3524271249771118,0.0
0.1811143308877945,25,155,,
,25,155,1.3911199569702148,0.0
0.18936003744602203,26,161,,
,26,161,1.409535527229309,0.0
0.1775769144296646,27,167,,
,27,167,1.380261778831482,0.0
0.2134711891412735,28,173,,
,28,173,1.4228688478469849,0.0
0.16746146976947784,29,179,,
,29,179,1.3909140825271606,0.0
0.2370651811361313,30,185,,
,30,185,1.3929821252822876,0.0
0.20076844096183777,31,191,,
,31,191,1.4875271320343018,0.0
0.1668311208486557,32,197,,
,32,197,1.3783962726593018,0.0
0.268453985452652,33,203,,
,33,203,1.5330249071121216,0.0
0.1747792512178421,34,209,,
,34,209,1.347123146057129,0.0
0.19542033970355988,35,215,,
,35,215,1.3192983865737915,0.0
0.20936481654644012,36,221,,
,36,221,1.3900638818740845,0.0
0.16970038414001465,37,227,,
,37,227,1.363294243812561,0.0
0.18955959379673004,38,233,,
,38,233,1.3788343667984009,0.0
0.2220211774110794,39,239,,
,39,239,1.3573764562606812,0.0
0.18475571274757385,40,245,,
,40,245,1.3645495176315308,0.0
0.21838898956775665,41,251,,
,41,251,1.3097548484802246,0.0
0.18604281544685364,42,257,,
,42,257,1.3562090396881104,0.0
0.20350196957588196,43,263,,
,43,263,1.3108129501342773,0.0
0.18769343197345734,44,269,,
,44,269,1.3405005931854248,0.0
0.19971168041229248,45,275,,
,45,275,1.375902533531189,0.0
0.18893089890480042,46,281,,
,46,281,1.3431062698364258,0.0
0.1840677559375763,47,287,,
,47,287,1.3331184387207031,0.0
0.17986427247524261,48,293,,
,48,293,1.3718537092208862,0.0
0.22335144877433777,49,299,,
,49,299,1.324625015258789,0.0
0.1714269369840622,50,305,,
,50,305,1.3218629360198975,0.0
0.19946663081645966,51,311,,
,51,311,1.3539682626724243,0.0
0.19603240489959717,52,317,,
,52,317,1.3564540147781372,0.0
0.17688335478305817,53,323,,
,53,323,1.2801752090454102,0.0
0.1709979623556137,54,329,,
,54,329,1.3872926235198975,0.0
0.22291912138462067,55,335,,
,55,335,1.2911297082901,0.0
0.16340084373950958,56,341,,
,56,341,1.3718465566635132,0.0
0.18536975979804993,57,347,,
,57,347,1.3314520120620728,0.0
0.18251535296440125,58,353,,
,58,353,1.2912887334823608,0.0
0.19276443123817444,59,359,,
,59,359,1.2873717546463013,0.0
0.17291688919067383,60,365,,
,60,365,1.2611522674560547,0.0
0.19203567504882812,61,371,,
,61,371,1.2280757427215576,0.0
0.21729819476604462,62,377,,
,62,377,1.3022258281707764,0.0
0.16308856010437012,63,383,,
,63,383,1.3355563879013062,0.0
0.2559066712856293,64,389,,
,64,389,1.2788387537002563,0.0
0.17752309143543243,65,395,,
,65,395,1.2822123765945435,0.0
