split,n,mse,r,rho
test,250,0.03192343363663293,0.6757314869446521,0.7573027408438535
train,90,0.01176897991137563,0.9608597304160895,0.937720706260032
val,10,0.006352164633737683,0.9106977600239975,0.9272727272727272
