step,best_fitness,current_fitness
0,-355.46014404296875,-355.46014404296875
1,-342.259033203125,-342.259033203125
2,-342.259033203125,-342.259033203125
3,-341.521240234375,-341.521240234375
4,-341.521240234375,-342.4176330566406
5,-341.521240234375,-342.4176330566406
6,-341.521240234375,-342.4176330566406
7,-341.521240234375,-342.4176330566406
8,-341.521240234375,-342.4176330566406
9,-341.521240234375,-342.4176330566406
10,-338.60504150390625,-338.60504150390625
11,-338.60504150390625,-338.60504150390625
12,-338.60504150390625,-338.60504150390625
13,-338.60504150390625,-338.60504150390625
14,-333.62139892578125,-333.62139892578125
15,-333.62139892578125,-333.62139892578125
16,-333.62139892578125,-333.62139892578125
17,-333.62139892578125,-333.62139892578125
18,-333.62139892578125,-333.62139892578125
19,-333.62139892578125,-333.62139892578125
20,-333.62139892578125,-333.62139892578125
21,-333.62139892578125,-333.62139892578125
22,-333.62139892578125,-333.62139892578125
23,-333.62139892578125,-333.62139892578125
24,-333.62139892578125,-335.5204162597656
25,-333.62139892578125,-335.5204162597656
26,-333.62139892578125,-335.5204162597656
27,-333.62139892578125,-336.383056640625
28,-333.62139892578125,-337.30511474609375
29,-333.62139892578125,-337.30511474609375
30,-333.62139892578125,-337.30511474609375
31,-333.62139892578125,-337.30511474609375
32,-333.62139892578125,-337.30511474609375
33,-333.62139892578125,-337.30511474609375
34,-332.2764892578125,-332.2764892578125
35,-329.6310729980469,-329.6310729980469
36,-329.6310729980469,-329.6310729980469
37,-329.6310729980469,-329.6310729980469
38,-329.6310729980469,-329.6310729980469
39,-329.6310729980469,-329.6310729980469
40,-327.9324951171875,-327.9324951171875
41,-327.9324951171875,-327.9324951171875
42,-327.9324951171875,-327.9324951171875
43,-327.9324951171875,-327.9324951171875
44,-326.3736572265625,-326.3736572265625
45,-325.2579345703125,-325.2579345703125
46,-325.2579345703125,-325.2579345703125
47,-325.2579345703125,-325.2579345703125
48,-325.2579345703125,-325.2579345703125
49,-325.2579345703125,-325.2579345703125
50,-325.2579345703125,-325.2579345703125
