epoch,step,train_reg_loss,val_reg_loss
0,5,,1.0158146619796753
0,5,9.326728820800781,
1,11,,0.6222328543663025
1,11,0.35906121134757996,
2,17,,0.5768009424209595
2,17,0.9311075210571289,
3,23,,0.1932508945465088
3,23,0.579921305179596,
4,29,,0.2350323498249054
4,29,0.14111655950546265,
5,35,,0.3999241590499878
5,35,0.10279367119073868,
6,41,,0.4004904329776764
6,41,0.12946172058582306,
7,47,,0.29020464420318604
7,47,0.10730854421854019,
8,53,,0.2101304978132248
8,53,0.08113705366849899,
9,59,,0.18733912706375122
9,59,0.08212296664714813,
10,65,,0.19717976450920105
10,65,0.0792953372001648,
11,71,,0.22575557231903076
11,71,0.07711408287286758,
12,77,,0.24133630096912384
12,77,0.07721702009439468,
13,83,,0.24255701899528503
13,83,0.07422297447919846,
14,89,,0.22921845316886902
14,89,0.0777292400598526,
15,95,,0.21956726908683777
15,95,0.074137844145298,
16,101,,0.21615318953990936
16,101,0.07615680992603302,
17,107,,0.21958324313163757
17,107,0.06951198726892471,
18,113,,0.21797528862953186
18,113,0.07452201098203659,
19,119,,0.21919241547584534
19,119,0.08210624754428864,
20,125,,0.2163359820842743
20,125,0.0790184885263443,
21,131,,0.22166137397289276
21,131,0.07404566556215286,
22,137,,0.2247963696718216
22,137,0.07458777725696564,
23,143,,0.21937139332294464
23,143,0.07870735228061676,
24,149,,0.2176373451948166
24,149,0.07888565957546234,
25,155,,0.2155601680278778
25,155,0.07575448602437973,
26,161,,0.21025142073631287
26,161,0.0682629644870758,
27,167,,0.2177903950214386
27,167,0.07353104650974274,
28,173,,0.23274202644824982
28,173,0.07240892201662064,
29,179,,0.22283720970153809
29,179,0.0790293887257576,
30,185,,0.2257750928401947
30,185,0.0788438469171524,
31,191,,0.210850328207016
31,191,0.07039208710193634,
32,197,,0.19873353838920593
32,197,0.07117271423339844,
33,203,,0.20443443953990936
33,203,0.07159145921468735,
34,209,,0.22439327836036682
34,209,0.07163511216640472,
35,215,,0.23786859214305878
35,215,0.06453611701726913,
36,221,,0.220998615026474
36,221,0.07606565952301025,
37,227,,0.2189949005842209
37,227,0.07333572208881378,
38,233,,0.22693781554698944
38,233,0.07674285769462585,
39,239,,0.21916291117668152
39,239,0.07103265076875687,
40,245,,0.2167154848575592
40,245,0.06553965061903,
41,251,,0.2251938283443451
41,251,0.0691392570734024,
42,257,,0.21474714577198029
42,257,0.07706838846206665,
43,263,,0.20809802412986755
43,263,0.07515525072813034,
44,269,,0.22210624814033508
44,269,0.07481113821268082,
45,275,,0.21534737944602966
45,275,0.07261519879102707,
46,281,,0.20921644568443298
46,281,0.07600872218608856,
47,287,,0.2243644893169403
47,287,0.07795745134353638,
48,293,,0.22905640304088593
48,293,0.08026845008134842,
49,299,,0.22554604709148407
49,299,0.07883845269680023,
50,305,,0.20088019967079163
50,305,0.06890162080526352,
51,311,,0.20732919871807098
51,311,0.07661529630422592,
52,317,,0.22457000613212585
52,317,0.06248337775468826,
53,323,,0.2290283441543579
53,323,0.07120122015476227,
54,329,,0.21364465355873108
54,329,0.07181674987077713,
55,335,,0.20911148190498352
55,335,0.07139846682548523,
56,341,,0.23659832775592804
56,341,0.07572825998067856,
57,347,,0.21990981698036194
57,347,0.07963953167200089,
58,353,,0.20625118911266327
58,353,0.07074175775051117,
59,359,,0.21220028400421143
59,359,0.07001600414514542,
60,365,,0.2165713757276535
60,365,0.06854335218667984,
61,371,,0.21686668694019318
61,371,0.07017986476421356,
62,377,,0.21825310587882996
62,377,0.07924144715070724,
63,383,,0.20255079865455627
63,383,0.0687536746263504,
64,389,,0.212370827794075
64,389,0.0745052844285965,
65,395,,0.2320438176393509
65,395,0.06754692643880844,
66,401,,0.20550408959388733
66,401,0.0680137574672699,
67,407,,0.19311261177062988
67,407,0.0751250609755516,
68,413,,0.21122689545154572
68,413,0.0709376409649849,
69,419,,0.22727294266223907
69,419,0.07015462219715118,
70,425,,0.21104581654071808
70,425,0.0617356076836586,
71,431,,0.20828206837177277
71,431,0.061051711440086365,
72,437,,0.21254181861877441
72,437,0.06873069703578949,
73,443,,0.2079997956752777
73,443,0.06545782834291458,
74,449,,0.22242847084999084
74,449,0.07383938133716583,
75,455,,0.20149263739585876
75,455,0.06361337006092072,
76,461,,0.21177521347999573
76,461,0.06580580770969391,
77,467,,0.20510545372962952
77,467,0.07272981852293015,
78,473,,0.20670513808727264
78,473,0.06840464472770691,
79,479,,0.21996541321277618
79,479,0.06181132420897484,
80,485,,0.20143599808216095
80,485,0.06784898042678833,
81,491,,0.22093169391155243
81,491,0.07300131767988205,
82,497,,0.2269982397556305
82,497,0.07056229561567307,
83,503,,0.20855291187763214
83,503,0.06452659517526627,
84,509,,0.20434217154979706
84,509,0.07140123844146729,
85,515,,0.22818584740161896
85,515,0.07527732849121094,
86,521,,0.21437156200408936
86,521,0.0763927549123764,
87,527,,0.2027778923511505
87,527,0.07671220600605011,
88,533,,0.20642700791358948
88,533,0.06965227425098419,
89,539,,0.21805579960346222
89,539,0.06752374768257141,
90,545,,0.2142847776412964
90,545,0.06598766893148422,
91,551,,0.216873437166214
91,551,0.06755026429891586,
92,557,,0.2049894630908966
92,557,0.06784860789775848,
93,563,,0.2026231586933136
93,563,0.06719478964805603,
94,569,,0.21742458641529083
94,569,0.06987296044826508,
95,575,,0.20258203148841858
95,575,0.07318506389856339,
96,581,,0.20310012996196747
96,581,0.06840189546346664,
97,587,,0.2165500372648239
97,587,0.06440939754247665,
98,593,,0.1980506032705307
98,593,0.06568274646997452,
99,599,,0.20407231152057648
99,599,0.05930228903889656,
100,605,,0.2329639494419098
100,605,0.06451912969350815,
101,611,,0.21442051231861115
101,611,0.06507547199726105,
102,617,,0.1911291480064392
102,617,0.07250361144542694,
103,623,,0.20559850335121155
103,623,0.06817775964736938,
104,629,,0.19132079184055328
104,629,0.07055841386318207,
105,635,,0.20960240066051483
105,635,0.07143854349851608,
106,641,,0.22972948849201202
106,641,0.06639666855335236,
107,647,,0.20455077290534973
107,647,0.07143101841211319,
108,653,,0.17844891548156738
108,653,0.06862306594848633,
109,659,,0.21749897301197052
109,659,0.06813757866621017,
110,665,,0.22126659750938416
110,665,0.0667799860239029,
111,671,,0.19052904844284058
111,671,0.06952275335788727,
112,677,,0.21482333540916443
112,677,0.06198413670063019,
113,683,,0.2113812267780304
113,683,0.06598693132400513,
114,689,,0.19743263721466064
114,689,0.06521110236644745,
115,695,,0.2137487828731537
115,695,0.05872173234820366,
116,701,,0.2080206573009491
116,701,0.06055577099323273,
117,707,,0.2023223340511322
117,707,0.059865135699510574,
118,713,,0.2052963674068451
118,713,0.06137606129050255,
119,719,,0.21254368126392365
119,719,0.058487389236688614,
120,725,,0.1907671093940735
120,725,0.06012922525405884,
121,731,,0.20260265469551086
121,731,0.05691391974687576,
122,737,,0.21456614136695862
122,737,0.06728580594062805,
123,743,,0.20869167149066925
123,743,0.06253451853990555,
124,749,,0.17670518159866333
124,749,0.06785158812999725,
125,755,,0.21474429965019226
125,755,0.05658483877778053,
126,761,,0.208471417427063
126,761,0.058819327503442764,
127,767,,0.19549015164375305
127,767,0.05616893246769905,
128,773,,0.20171847939491272
128,773,0.05640465393662453,
129,779,,0.19993248581886292
129,779,0.06434758752584457,
130,785,,0.20075276494026184
130,785,0.07107159495353699,
131,791,,0.20441707968711853
131,791,0.05992709845304489,
132,797,,0.19090531766414642
132,797,0.06307902932167053,
133,803,,0.2051585167646408
133,803,0.0571424700319767,
134,809,,0.21229121088981628
134,809,0.05946290120482445,
135,815,,0.1975233405828476
135,815,0.05891353636980057,
136,821,,0.20895516872406006
136,821,0.0683918222784996,
137,827,,0.19492514431476593
137,827,0.06221737340092659,
138,833,,0.20032791793346405
138,833,0.06322197616100311,
139,839,,0.20620779693126678
139,839,0.0654497742652893,
140,845,,0.17203907668590546
140,845,0.058885879814624786,
141,851,,0.22548314929008484
141,851,0.06065304949879646,
142,857,,0.19542351365089417
142,857,0.05708789825439453,
143,863,,0.18451780080795288
143,863,0.06282389163970947,
144,869,,0.19559800624847412
144,869,0.05633162334561348,
145,875,,0.21555836498737335
145,875,0.05950288102030754,
146,881,,0.1921282261610031
146,881,0.062053367495536804,
147,887,,0.17628349363803864
147,887,0.06062546744942665,
148,893,,0.22813734412193298
148,893,0.05828704684972763,
149,899,,0.1783699095249176
149,899,0.05966312438249588,
150,905,,0.20828887820243835
150,905,0.05400095134973526,
151,911,,0.21056106686592102
151,911,0.0605657584965229,
152,917,,0.17102274298667908
152,917,0.06090898439288139,
153,923,,0.22021666169166565
153,923,0.05749528855085373,
154,929,,0.18227025866508484
154,929,0.056837547570466995,
155,935,,0.20169977843761444
155,935,0.05390370637178421,
156,941,,0.21777276694774628
156,941,0.05380968376994133,
157,947,,0.16845911741256714
157,947,0.06030678376555443,
158,953,,0.21773812174797058
158,953,0.05760851874947548,
159,959,,0.18476665019989014
159,959,0.055496443063020706,
160,965,,0.20087285339832306
160,965,0.05842675268650055,
161,971,,0.20349493622779846
161,971,0.06057021766901016,
162,977,,0.18594014644622803
162,977,0.051365550607442856,
163,983,,0.19190606474876404
163,983,0.05633344128727913,
164,989,,0.19048945605754852
164,989,0.06087135896086693,
165,995,,0.19529783725738525
165,995,0.05680623650550842,
166,1001,,0.1925283819437027
166,1001,0.06239624693989754,
167,1007,,0.17459923028945923
167,1007,0.055155958980321884,
168,1013,,0.20798885822296143
168,1013,0.05003183335065842,
169,1019,,0.19045443832874298
