split,n,mse,r,rho
test,250,0.09094208980729292,0.41201611993342546,0.42912648202371234
train,90,0.006986657708957414,0.9981202002473252,0.9856772441042104
val,10,0.06311900414940783,0.9222939618334248,0.29696969696969694
