step,best_fitness,current_fitness
0,-355.4601745605469,-355.4601745605469
1,-342.259033203125,-342.259033203125
2,-342.259033203125,-342.259033203125
3,-341.521240234375,-341.521240234375
4,-341.521240234375,-341.521240234375
5,-341.521240234375,-341.521240234375
6,-341.521240234375,-341.521240234375
7,-338.3059387207031,-338.3059387207031
8,-338.3059387207031,-338.3059387207031
9,-338.3059387207031,-338.3059387207031
10,-337.52020263671875,-337.52020263671875
11,-337.52020263671875,-337.52020263671875
12,-335.2945556640625,-335.2945556640625
13,-335.2945556640625,-335.2945556640625
14,-331.2041015625,-331.2041015625
15,-331.2041015625,-331.2041015625
16,-331.2041015625,-331.2041015625
17,-331.2041015625,-331.2041015625
18,-331.2041015625,-331.2041015625
19,-331.2041015625,-331.2041015625
20,-331.2041015625,-331.2041015625
21,-331.2041015625,-331.2041015625
22,-331.2041015625,-331.2041015625
23,-331.2041015625,-331.2041015625
24,-331.2041015625,-331.2041015625
25,-331.2041015625,-331.2041015625
26,-331.2041015625,-331.2041015625
27,-330.8509521484375,-330.8509521484375
28,-330.8509521484375,-330.8509521484375
29,-330.8509521484375,-330.8509521484375
30,-330.8509521484375,-330.8509521484375
31,-330.8509521484375,-330.8509521484375
32,-330.8509521484375,-330.8509521484375
33,-330.8509521484375,-330.8509521484375
34,-325.9157409667969,-325.9157409667969
35,-325.9157409667969,-325.9157409667969
36,-325.9157409667969,-325.9157409667969
37,-325.9157409667969,-325.9157409667969
38,-325.9157409667969,-325.9157409667969
39,-325.9157409667969,-325.9157409667969
40,-325.9157409667969,-325.9157409667969
41,-325.9157409667969,-325.9157409667969
42,-325.9157409667969,-325.9157409667969
43,-325.9157409667969,-325.9157409667969
44,-325.9157409667969,-325.9157409667969
45,-325.9157409667969,-325.9157409667969
46,-325.9157409667969,-325.9157409667969
47,-325.9157409667969,-325.9157409667969
48,-325.9157409667969,-325.9157409667969
49,-325.9157409667969,-325.9157409667969
50,-325.9157409667969,-325.9157409667969
51,-325.9157409667969,-325.9157409667969
52,-325.9157409667969,-325.9157409667969
53,-325.9157409667969,-325.9157409667969
54,-325.9157409667969,-325.9157409667969
55,-325.9157409667969,-325.9157409667969
56,-325.9157409667969,-325.9157409667969
57,-325.9157409667969,-325.9157409667969
58,-325.9157409667969,-325.9157409667969
59,-325.9157409667969,-325.9157409667969
60,-325.9157409667969,-325.9157409667969
61,-325.9157409667969,-325.9157409667969
62,-325.9157409667969,-325.9157409667969
63,-325.9157409667969,-325.9157409667969
64,-325.9157409667969,-325.9157409667969
65,-323.92327880859375,-323.92327880859375
66,-323.92327880859375,-323.92327880859375
67,-323.92327880859375,-323.92327880859375
68,-323.92327880859375,-323.92327880859375
69,-323.92327880859375,-323.92327880859375
70,-323.92327880859375,-323.92327880859375
71,-323.92327880859375,-323.92327880859375
72,-323.92327880859375,-323.92327880859375
73,-323.92327880859375,-323.92327880859375
74,-323.92327880859375,-323.92327880859375
75,-323.92327880859375,-323.92327880859375
76,-323.92327880859375,-323.92327880859375
77,-323.92327880859375,-323.92327880859375
78,-323.92327880859375,-323.92327880859375
79,-323.92327880859375,-323.92327880859375
80,-323.92327880859375,-323.92327880859375
81,-323.92327880859375,-323.92327880859375
82,-323.92327880859375,-323.92327880859375
83,-323.92327880859375,-323.92327880859375
84,-323.92327880859375,-323.92327880859375
85,-323.92327880859375,-323.92327880859375
86,-323.92327880859375,-323.92327880859375
87,-323.92327880859375,-323.92327880859375
88,-323.92327880859375,-323.92327880859375
89,-323.92327880859375,-323.92327880859375
90,-323.92327880859375,-323.92327880859375
91,-323.92327880859375,-323.92327880859375
92,-323.92327880859375,-323.92327880859375
93,-323.92327880859375,-323.92327880859375
94,-323.92327880859375,-323.92327880859375
95,-323.92327880859375,-323.92327880859375
96,-323.92327880859375,-323.92327880859375
97,-323.92327880859375,-323.92327880859375
98,-323.92327880859375,-323.92327880859375
99,-323.92327880859375,-323.92327880859375
100,-323.92327880859375,-323.92327880859375
101,-323.15728759765625,-323.15728759765625
102,-323.15728759765625,-323.15728759765625
103,-323.15728759765625,-323.15728759765625
104,-323.15728759765625,-323.15728759765625
105,-323.15728759765625,-323.15728759765625
106,-323.15728759765625,-323.15728759765625
107,-323.15728759765625,-323.15728759765625
108,-323.15728759765625,-323.15728759765625
109,-323.15728759765625,-323.15728759765625
110,-323.15728759765625,-323.15728759765625
111,-323.15728759765625,-323.15728759765625
112,-323.15728759765625,-323.15728759765625
113,-323.15728759765625,-323.15728759765625
114,-323.15728759765625,-323.15728759765625
