step,best_fitness,current_fitness
0,-352.52362060546875,-352.52362060546875
1,-339.1181945800781,-339.1181945800781
2,-339.1181945800781,-339.1181945800781
3,-333.8115234375,-333.8115234375
4,-333.8115234375,-333.8115234375
5,-331.7481689453125,-331.7481689453125
6,-331.7481689453125,-331.7481689453125
7,-331.7481689453125,-331.7481689453125
8,-331.7481689453125,-331.7481689453125
9,-331.7481689453125,-331.7481689453125
10,-331.7481689453125,-331.7481689453125
11,-331.7481689453125,-331.7481689453125
12,-331.7481689453125,-331.7481689453125
13,-331.7481689453125,-331.7481689453125
14,-331.7481689453125,-331.7481689453125
15,-331.7481689453125,-331.7481689453125
16,-331.13372802734375,-331.13372802734375
17,-331.13372802734375,-331.34039306640625
18,-331.13372802734375,-331.34039306640625
19,-331.13372802734375,-331.34039306640625
20,-331.13372802734375,-331.34039306640625
21,-330.49395751953125,-330.49395751953125
22,-330.49395751953125,-330.49395751953125
23,-330.49395751953125,-330.49395751953125
24,-330.49395751953125,-330.49395751953125
25,-330.49395751953125,-330.49395751953125
26,-330.49395751953125,-330.49395751953125
27,-330.49395751953125,-330.49395751953125
28,-330.49395751953125,-330.49395751953125
29,-329.0169677734375,-329.0169677734375
30,-329.0169677734375,-329.0169677734375
31,-329.0169677734375,-329.0169677734375
32,-329.0169677734375,-329.0169677734375
33,-329.0169677734375,-329.0169677734375
34,-328.426513671875,-328.426513671875
35,-328.426513671875,-328.426513671875
36,-328.426513671875,-328.426513671875
37,-328.426513671875,-328.426513671875
38,-328.426513671875,-328.426513671875
39,-328.426513671875,-328.426513671875
40,-328.426513671875,-328.426513671875
41,-328.426513671875,-328.426513671875
42,-328.426513671875,-328.426513671875
43,-328.426513671875,-328.426513671875
44,-328.426513671875,-328.426513671875
45,-328.426513671875,-328.426513671875
46,-328.426513671875,-328.426513671875
47,-328.426513671875,-328.426513671875
48,-328.426513671875,-328.426513671875
49,-328.426513671875,-328.426513671875
50,-324.0167541503906,-324.0167541503906
51,-324.0167541503906,-324.0167541503906
52,-324.0167541503906,-324.0167541503906
53,-324.0167541503906,-324.0167541503906
54,-324.0167541503906,-324.0167541503906
55,-324.0167541503906,-324.0167541503906
56,-324.0167541503906,-324.0167541503906
57,-324.0167541503906,-324.0167541503906
58,-322.3770446777344,-322.3770446777344
59,-322.3770446777344,-322.3770446777344
60,-322.3770446777344,-322.3770446777344
61,-322.3770446777344,-322.3770446777344
62,-322.3770446777344,-322.3770446777344
63,-322.3770446777344,-322.3770446777344
64,-322.3770446777344,-322.3770446777344
65,-322.3770446777344,-322.3770446777344
66,-322.3770446777344,-322.65869140625
67,-322.3770446777344,-322.65869140625
68,-322.3770446777344,-322.65869140625
69,-322.3770446777344,-322.65869140625
70,-322.3770446777344,-322.65869140625
71,-322.3770446777344,-322.65869140625
72,-322.3770446777344,-322.65869140625
73,-322.3770446777344,-322.65869140625
74,-322.3770446777344,-322.65869140625
75,-322.3770446777344,-322.65869140625
76,-322.3770446777344,-322.65869140625
77,-322.3770446777344,-322.65869140625
78,-322.3770446777344,-322.65869140625
79,-322.3770446777344,-322.65869140625
80,-317.1846008300781,-317.1846008300781
81,-317.1846008300781,-317.1846008300781
82,-317.1846008300781,-317.1846008300781
83,-317.1846008300781,-317.1846008300781
84,-317.1846008300781,-317.1846008300781
85,-317.1846008300781,-317.1846008300781
86,-317.1846008300781,-317.1846008300781
87,-317.1846008300781,-317.1846008300781
88,-317.1846008300781,-317.1846008300781
89,-317.1846008300781,-317.1846008300781
90,-317.1846008300781,-317.1846008300781
91,-317.1846008300781,-317.1846008300781
92,-317.1846008300781,-317.1846008300781
93,-317.1846008300781,-317.1846008300781
94,-317.1846008300781,-317.1846008300781
95,-317.1846008300781,-317.1846008300781
96,-317.1846008300781,-317.1846008300781
97,-317.1846008300781,-317.1846008300781
98,-317.1846008300781,-317.1846008300781
99,-317.1846008300781,-317.1846008300781
100,-317.1846008300781,-317.1846008300781
101,-317.1846008300781,-317.1846008300781
