step,best_fitness,current_fitness
0,-357.6054992675781,-357.6054992675781
1,-356.02264404296875,-356.02264404296875
2,-356.02264404296875,-356.02264404296875
3,-356.02264404296875,-356.02264404296875
4,-356.02264404296875,-356.02264404296875
5,-356.02264404296875,-356.02264404296875
6,-356.02264404296875,-356.02264404296875
7,-351.17724609375,-351.17724609375
8,-351.17724609375,-351.17724609375
9,-341.8310546875,-341.8310546875
10,-341.8310546875,-341.8310546875
11,-334.3686218261719,-334.3686218261719
12,-334.3686218261719,-334.3686218261719
13,-334.3686218261719,-334.3686218261719
14,-334.3686218261719,-334.3686218261719
15,-333.82293701171875,-333.82293701171875
16,-333.82293701171875,-333.82293701171875
17,-333.82293701171875,-333.82293701171875
18,-333.82293701171875,-333.82293701171875
19,-333.82293701171875,-333.82293701171875
20,-333.82293701171875,-333.82293701171875
21,-333.82293701171875,-334.82562255859375
22,-333.82293701171875,-334.82562255859375
23,-333.82293701171875,-334.82562255859375
24,-333.04901123046875,-333.04901123046875
25,-332.00323486328125,-332.00323486328125
26,-331.0047607421875,-331.0047607421875
27,-331.0047607421875,-331.0047607421875
28,-331.0047607421875,-331.0047607421875
29,-331.0047607421875,-331.0047607421875
30,-331.0047607421875,-331.0047607421875
31,-330.3478088378906,-330.3478088378906
32,-330.3478088378906,-330.3478088378906
33,-330.3478088378906,-330.3478088378906
34,-330.3478088378906,-330.3478088378906
35,-330.3478088378906,-330.3478088378906
36,-330.3478088378906,-330.3478088378906
37,-330.3478088378906,-330.3478088378906
38,-330.3478088378906,-330.3478088378906
39,-330.3478088378906,-330.3478088378906
40,-330.3478088378906,-330.3478088378906
41,-330.3478088378906,-330.3478088378906
42,-330.3478088378906,-330.3478088378906
43,-330.3478088378906,-330.3478088378906
44,-330.3478088378906,-330.3478088378906
45,-329.13543701171875,-329.13543701171875
46,-329.13543701171875,-329.13543701171875
47,-329.13543701171875,-329.13543701171875
48,-329.13543701171875,-329.13543701171875
49,-329.13543701171875,-329.13543701171875
50,-329.13543701171875,-329.13543701171875
51,-329.13543701171875,-329.13543701171875
52,-329.13543701171875,-329.13543701171875
53,-329.13543701171875,-329.13543701171875
54,-329.13543701171875,-329.13543701171875
55,-329.13543701171875,-329.13543701171875
56,-329.13543701171875,-329.13543701171875
57,-329.13543701171875,-329.13543701171875
58,-329.13543701171875,-329.13543701171875
59,-329.13543701171875,-329.13543701171875
60,-329.13543701171875,-329.13543701171875
61,-329.13543701171875,-329.13543701171875
62,-329.13543701171875,-329.13543701171875
63,-329.13543701171875,-329.13543701171875
64,-329.13543701171875,-329.13543701171875
65,-329.13543701171875,-329.13543701171875
66,-329.13543701171875,-329.13543701171875
67,-329.13543701171875,-329.13543701171875
68,-329.13543701171875,-329.13543701171875
69,-329.13543701171875,-329.13543701171875
70,-329.13543701171875,-329.13543701171875
71,-329.13543701171875,-329.24591064453125
72,-329.13543701171875,-329.24591064453125
73,-329.13543701171875,-329.24591064453125
74,-322.2193298339844,-322.2193298339844
75,-322.2193298339844,-322.2193298339844
76,-322.2193298339844,-322.2193298339844
77,-311.9422912597656,-311.9422912597656
78,-311.9422912597656,-311.9422912597656
79,-311.9422912597656,-311.9422912597656
80,-311.9422912597656,-311.9422912597656
81,-311.9422912597656,-311.9422912597656
82,-311.9422912597656,-311.9422912597656
83,-311.9422912597656,-311.9422912597656
84,-311.9422912597656,-311.9422912597656
85,-311.9422912597656,-311.9422912597656
86,-311.9422912597656,-311.9422912597656
87,-311.9422912597656,-311.9422912597656
88,-311.9422912597656,-311.9422912597656
89,-311.9422912597656,-311.9422912597656
90,-311.9422912597656,-311.9422912597656
91,-311.9422912597656,-311.9422912597656
92,-311.9422912597656,-311.9422912597656
93,-311.9422912597656,-311.9422912597656
94,-311.9422912597656,-311.9422912597656
95,-311.9422912597656,-311.9422912597656
96,-311.9422912597656,-311.9422912597656
97,-311.9422912597656,-312.38671875
98,-311.9422912597656,-312.38671875
99,-311.9422912597656,-312.38671875
100,-311.9422912597656,-312.38671875
101,-311.9422912597656,-312.38671875
102,-311.9422912597656,-312.38671875
103,-311.9422912597656,-312.38671875
104,-311.9422912597656,-312.38671875
105,-311.9422912597656,-312.38671875
106,-311.9422912597656,-312.38671875
107,-311.9422912597656,-312.38671875
108,-311.9422912597656,-312.38671875
109,-311.9422912597656,-312.38671875
110,-311.9422912597656,-312.38671875
111,-311.9422912597656,-312.38671875
112,-311.9422912597656,-312.38671875
113,-311.9422912597656,-312.38671875
114,-311.9422912597656,-312.38671875
115,-311.9422912597656,-312.38671875
116,-311.9422912597656,-312.38671875
117,-311.9422912597656,-312.38671875
118,-311.9422912597656,-312.38671875
119,-311.9422912597656,-312.38671875
120,-311.9422912597656,-312.38671875
121,-311.9422912597656,-312.38671875
122,-311.9422912597656,-312.38671875
123,-311.9422912597656,-312.38671875
124,-311.9422912597656,-312.38671875
125,-311.9422912597656,-312.38671875
126,-311.9422912597656,-312.38671875
127,-309.18646240234375,-309.18646240234375
128,-309.18646240234375,-309.18646240234375
129,-309.18646240234375,-309.18646240234375
130,-309.18646240234375,-309.18646240234375
131,-309.18646240234375,-309.18646240234375
132,-309.18646240234375,-309.18646240234375
133,-309.18646240234375,-309.18646240234375
