step,best_fitness,current_fitness
0,-353.55780029296875,-353.55780029296875
1,-352.1585388183594,-352.1585388183594
2,-345.8859558105469,-345.8859558105469
3,-345.8859558105469,-345.8859558105469
4,-345.8859558105469,-345.8859558105469
5,-345.7590026855469,-345.7590026855469
6,-341.77276611328125,-341.77276611328125
7,-341.77276611328125,-341.77276611328125
8,-341.5102233886719,-341.5102233886719
9,-336.13623046875,-336.13623046875
10,-332.2612609863281,-332.2612609863281
11,-332.2612609863281,-332.2828369140625
12,-332.2612609863281,-332.2828369140625
13,-331.78448486328125,-331.78448486328125
14,-327.45867919921875,-327.45867919921875
15,-327.45867919921875,-327.45867919921875
16,-327.45867919921875,-327.45867919921875
17,-327.45867919921875,-327.45867919921875
18,-327.45867919921875,-327.45867919921875
19,-327.45867919921875,-327.45867919921875
20,-327.45867919921875,-327.45867919921875
21,-327.45867919921875,-327.45867919921875
22,-327.45867919921875,-327.53912353515625
23,-327.45867919921875,-327.53912353515625
24,-327.45867919921875,-327.53912353515625
25,-327.45867919921875,-327.53912353515625
26,-327.45867919921875,-327.53912353515625
27,-327.45867919921875,-327.53912353515625
28,-323.83251953125,-323.83251953125
29,-318.5481262207031,-318.5481262207031
30,-318.5481262207031,-318.5481262207031
31,-318.5481262207031,-318.5481262207031
32,-318.5481262207031,-318.5481262207031
33,-318.5481262207031,-318.5481262207031
34,-318.5481262207031,-318.5481262207031
35,-318.5481262207031,-318.5481262207031
36,-318.5481262207031,-318.5481262207031
37,-318.5481262207031,-318.5481262207031
38,-318.5481262207031,-318.5481262207031
39,-318.5481262207031,-318.5481262207031
40,-318.5481262207031,-318.5481262207031
41,-318.5481262207031,-318.5481262207031
42,-318.5481262207031,-318.5481262207031
43,-318.5481262207031,-318.5481262207031
44,-318.5481262207031,-318.5481262207031
45,-318.5481262207031,-318.5481262207031
46,-318.5481262207031,-318.5481262207031
47,-318.5481262207031,-318.5481262207031
48,-318.5481262207031,-318.5481262207031
49,-318.5481262207031,-318.5481262207031
50,-318.5481262207031,-318.5481262207031
51,-318.5481262207031,-318.5481262207031
52,-314.2342834472656,-314.2342834472656
53,-314.2342834472656,-314.2342834472656
54,-314.2342834472656,-314.2342834472656
55,-314.2342834472656,-314.2342834472656
