split,n,mse,r,rho
test,250,0.051017153379245374,0.12222060585695611,0.15209907358517735
train,90,0.0303723140421482,0.26909702076061437,0.3307486520969667
val,10,0.03537166501032383,0.08536960211377079,-0.06666666666666665
