split,n,mse,r,rho
test,250,0.023213789802096027,0.7031715513488563,0.7833898142370278
train,90,0.0054458116434649845,0.978907445790267,0.9486191710910812
val,10,0.0032915824462673863,0.9203560390364224,0.9151515151515152
