split,n,mse,r,rho
test,250,0.08577739123609363,0.3542647404536038,0.3740031680506888
train,90,0.00927091153210304,0.9598117896366609,0.7190629257291248
val,10,0.04890705647557852,0.9528111564317349,0.5272727272727272
