split,n,mse,r,rho
test,250,0.0265381585696819,0.6932302547410791,0.7743380214083425
train,90,0.007788145139117317,0.966030300880219,0.9501172984319052
val,10,0.015865217645975666,0.9729472204080508,0.9030303030303028
